Date,Close,High,Low,Open,Volume
2024-01-02,789000.0,800000.0,756000.0,760000.0,199238
2024-01-03,787000.0,793000.0,776000.0,782000.0,87350
2024-01-04,770000.0,784000.0,759000.0,782000.0,77785
2024-01-05,756000.0,769000.0,753000.0,765000.0,60943
2024-01-08,749000.0,763000.0,746000.0,763000.0,60440
2024-01-09,752000.0,758000.0,751000.0,757000.0,32301
2024-01-10,746000.0,758000.0,745000.0,758000.0,25263
2024-01-11,751000.0,765000.0,746000.0,750000.0,51085
2024-01-12,744000.0,758000.0,740000.0,752000.0,36332
2024-01-15,764000.0,757000.0,739000.0,742000.0,6083
2024-01-16,766000.0,777000.0,755000.0,765000.0,71224
2024-01-17,756000.0,770000.0,755000.0,770000.0,66807
2024-01-18,750000.0,760000.0,748000.0,756000.0,45252
2024-01-19,770000.0,771000.0,747000.0,751000.0,92506
2024-01-22,793000.0,793000.0,771000.0,775000.0,136637
2024-01-23,799000.0,799000.0,789000.0,793000.0,77547
2024-01-24,788000.0,808000.0,783000.0,797000.0,86457
2024-01-25,785000.0,800000.0,779000.0,795000.0,96679
2024-01-26,773000.0,781000.0,767000.0,778000.0,58880
2024-01-29,800000.0,815000.0,793000.0,800000.0,194799
2024-01-30,823000.0,829000.0,800000.0,800000.0,147117
2024-01-31,840000.0,845000.0,822000.0,823000.0,149788
2024-02-01,829000.0,835000.0,816000.0,829000.0,86022
2024-02-02,859000.0,862000.0,822000.0,823000.0,134042
2024-02-05,847000.0,867000.0,840000.0,851000.0,79000
2024-02-06,846000.0,878000.0,841000.0,857000.0,78915
2024-02-07,826000.0,852000.0,825000.0,849000.0,97535
2024-02-08,815000.0,833000.0,802000.0,831000.0,99897
2024-02-13,838000.0,842000.0,817000.0,817000.0,87548
2024-02-14,828000.0,833000.0,815000.0,832000.0,53356
2024-02-15,818000.0,835000.0,818000.0,835000.0,48715
2024-02-16,828000.0,829000.0,815000.0,829000.0,61091
2024-02-19,821000.0,827000.0,818000.0,820000.0,56712
2024-02-20,818000.0,824000.0,815000.0,819000.0,50674
2024-02-21,823000.0,824000.0,817000.0,822000.0,90685
2024-02-22,820000.0,832000.0,818000.0,825000.0,39730
2024-02-23,814000.0,828000.0,806000.0,819000.0,71915
2024-02-26,810000.0,822000.0,809000.0,817000.0,64612
2024-02-27,807000.0,816000.0,803000.0,816000.0,57386
2024-02-28,801000.0,812000.0,796000.0,807000.0,57242
2024-02-29,774000.0,801000.0,772000.0,796000.0,137601
2024-03-04,774000.0,784000.0,772000.0,777000.0,82555
2024-03-05,780000.0,794000.0,768000.0,770000.0,53508
2024-03-06,785000.0,793000.0,777000.0,778000.0,37169
2024-03-07,796000.0,812000.0,786000.0,794000.0,86253
2024-03-08,838000.0,845000.0,812000.0,813000.0,186051
2024-03-11,830000.0,843000.0,825000.0,842000.0,63779
2024-03-12,840000.0,841000.0,826000.0,836000.0,46577
2024-03-13,828000.0,848000.0,819000.0,842000.0,59985
2024-03-14,840000.0,840000.0,825000.0,830000.0,75301
2024-03-15,826000.0,855000.0,826000.0,837000.0,90093
2024-03-18,859000.0,880000.0,826000.0,834000.0,173754
2024-03-19,848000.0,861000.0,845000.0,860000.0,58733
2024-03-20,850000.0,865000.0,846000.0,854000.0,67582
2024-03-21,857000.0,858000.0,830000.0,853000.0,76873
2024-03-22,840000.0,856000.0,840000.0,851000.0,52133
2024-03-25,840000.0,852000.0,835000.0,847000.0,47393
2024-03-26,828000.0,849000.0,826000.0,846000.0,69691
2024-03-27,836000.0,837000.0,827000.0,828000.0,34924
2024-03-28,833000.0,836000.0,826000.0,832000.0,35639
2024-03-29,831000.0,848000.0,828000.0,833000.0,48645
2024-04-01,816000.0,838000.0,816000.0,838000.0,56352
2024-04-02,816000.0,822000.0,810000.0,813000.0,42986
2024-04-03,812000.0,824000.0,811000.0,811000.0,50722
2024-04-04,817000.0,823000.0,812000.0,816000.0,34651
2024-04-05,813000.0,816000.0,804000.0,812000.0,39178
2024-04-08,815000.0,821000.0,798000.0,808000.0,38397
2024-04-09,805000.0,821000.0,805000.0,819000.0,39596
2024-04-11,795000.0,803000.0,785000.0,796000.0,61233
2024-04-12,790000.0,801000.0,787000.0,795000.0,41353
2024-04-15,793000.0,794000.0,777000.0,784000.0,31597
2024-04-16,785000.0,794000.0,781000.0,787000.0,43773
2024-04-17,776000.0,787000.0,776000.0,785000.0,29827
2024-04-18,790000.0,797000.0,777000.0,780000.0,33200
2024-04-19,781000.0,789000.0,770000.0,784000.0,55678
2024-04-22,802000.0,805000.0,788000.0,790000.0,59922
2024-04-23,791000.0,800000.0,789000.0,795000.0,44112
2024-04-24,790000.0,804000.0,788000.0,799000.0,48667
2024-04-25,780000.0,789000.0,775000.0,783000.0,68732
2024-04-26,770000.0,780000.0,769000.0,779000.0,82298
2024-04-29,775000.0,778000.0,768000.0,775000.0,90707
2024-04-30,781000.0,787000.0,775000.0,776000.0,60733
2024-05-02,775000.0,783000.0,774000.0,777000.0,49111
2024-05-03,771000.0,781000.0,771000.0,779000.0,56064
2024-05-07,785000.0,790000.0,777000.0,777000.0,87824
2024-05-08,791000.0,803000.0,790000.0,795000.0,82414
2024-05-09,781000.0,796000.0,779000.0,796000.0,82989
2024-05-10,787000.0,794000.0,783000.0,789000.0,65984
2024-05-13,781000.0,794000.0,780000.0,791000.0,35239
2024-05-14,781000.0,789000.0,779000.0,783000.0,28625
2024-05-16,784000.0,791000.0,781000.0,786000.0,65778
2024-05-17,788000.0,791000.0,782000.0,783000.0,45694
2024-05-20,790000.0,793000.0,785000.0,792000.0,40399
2024-05-21,779000.0,787000.0,779000.0,785000.0,58316
2024-05-22,777000.0,787000.0,776000.0,781000.0,41152
2024-05-23,770000.0,779000.0,770000.0,773000.0,73622
2024-05-24,751000.0,766000.0,751000.0,763000.0,81016
2024-05-27,755000.0,759000.0,746000.0,754000.0,44353
2024-05-28,745000.0,755000.0,745000.0,754000.0,52416
2024-05-29,727000.0,747000.0,726000.0,739000.0,89242
2024-05-30,732000.0,744000.0,721000.0,726000.0,38342
2024-05-31,730000.0,740000.0,728000.0,739000.0,51389
2024-06-03,752000.0,756000.0,736000.0,736000.0,49828
2024-06-04,753000.0,757000.0,746000.0,746000.0,33080
2024-06-05,760000.0,774000.0,751000.0,757000.0,64528
2024-06-07,750000.0,769000.0,747000.0,762000.0,57654
2024-06-10,736000.0,742000.0,733000.0,742000.0,68070
2024-06-11,740000.0,755000.0,739000.0,740000.0,48332
2024-06-12,742000.0,750000.0,736000.0,741000.0,59766
2024-06-13,736000.0,755000.0,736000.0,743000.0,95600
2024-06-14,737000.0,739000.0,733000.0,736000.0,51252
2024-06-17,736000.0,737000.0,730000.0,735000.0,37449
2024-06-18,740000.0,744000.0,733000.0,739000.0,46315
2024-06-19,755000.0,756000.0,742000.0,746000.0,55640
2024-06-20,747000.0,756000.0,747000.0,753000.0,33185
2024-06-21,750000.0,751000.0,738000.0,747000.0,61956
2024-06-24,734000.0,748000.0,734000.0,747000.0,45936
2024-06-25,738000.0,740000.0,732000.0,740000.0,42342
2024-06-26,729000.0,739000.0,728000.0,738000.0,64022
2024-06-27,732000.0,733000.0,722000.0,725000.0,49191
2024-06-28,727000.0,734000.0,724000.0,732000.0,76001
2024-07-01,759000.0,769000.0,725000.0,727000.0,146791
2024-07-02,810000.0,815000.0,753000.0,756000.0,310729
2024-07-03,810000.0,818000.0,792000.0,805000.0,156413
2024-07-04,803000.0,810000.0,795000.0,810000.0,72898
2024-07-05,803000.0,808000.0,798000.0,808000.0,63043
2024-07-08,792000.0,808000.0,784000.0,806000.0,80840
2024-07-09,796000.0,808000.0,791000.0,796000.0,54942
2024-07-10,807000.0,815000.0,792000.0,796000.0,81410
2024-07-11,815000.0,823000.0,805000.0,814000.0,82472
2024-07-12,823000.0,825000.0,813000.0,815000.0,86531
2024-07-15,819000.0,832000.0,816000.0,830000.0,62533
2024-07-16,824000.0,827000.0,816000.0,825000.0,51060
2024-07-17,851000.0,859000.0,818000.0,818000.0,175009
2024-07-18,850000.0,856000.0,842000.0,850000.0,94995
2024-07-19,835000.0,844000.0,821000.0,842000.0,69248
2024-07-22,848000.0,857000.0,826000.0,833000.0,123049
2024-07-23,848000.0,865000.0,845000.0,852000.0,73358
2024-07-24,883000.0,890000.0,836000.0,845000.0,271622
2024-07-25,871000.0,890000.0,858000.0,880000.0,190763
2024-07-26,915000.0,929000.0,872000.0,873000.0,249017
2024-07-29,940000.0,950000.0,915000.0,919000.0,145349
2024-07-30,937000.0,960000.0,928000.0,940000.0,144798
2024-07-31,938000.0,955000.0,925000.0,945000.0,108408
2024-08-01,925000.0,928000.0,901000.0,928000.0,144939
2024-08-02,911000.0,927000.0,903000.0,912000.0,101110
